,diapostagem,hora,nomeBike,precoBike,cidade,bairro,urlBike
1,21 nov,21:47,Quadro alumínio aro 26 mtb,299.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-aluminio-aro-26-mtb-959690404
2,,,,,,,
3,,,,,,,
4,18 nov,19:13,Quadro Masil TT e frente Cinelli em 12x sem juros,3290.0,São Bernardo do Campo, Rudge Ramos - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-masil-tt-e-frente-cinelli-em-12x-sem-juros-958547895
5,18 nov,13:10,"Guidão BullHorn Cinelli Lola 31,8mm",180.0,Campinas, Parque Jambeiro - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/guidao-bullhorn-cinelli-lola-31-8mm-958356191
6,14 nov,17:01,Peças para bicicleta Fixa speed,15.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pecas-para-bicicleta-fixa-speed-956815405
7,,,,,,,
8,14 nov,17:00,Peças para bicicleta MTB ,15.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pecas-para-bicicleta-mtb-956815171
9,14 nov,12:58,Bicicleta low rider retro caiçara,599.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-low-rider-retro-caicara-956746474
10,14 nov,12:41,Quadro garfo mesa MTB alumínio,299.0,São Paulo, Vila União (Zona Leste) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-garfo-mesa-mtb-aluminio-956742994
11,14 nov,11:09,Banco/Selim Cinelli Scatto para bicicleta/bike,150.0,São Paulo, Vila Lageado - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/banco-selim-cinelli-scatto-para-bicicleta-bike-956719167
12,12 nov,11:21,guidao cinelli pepper ,200.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/guidao-cinelli-pepper-956026626
13,,,,,,,
0,Hoje,14:08,Bicicleta mtb Tsw Jump Deore Quadro 17  Menos de 1 mes de Uso zero Valor Na nota 5.400 ,4700.0,São José dos Campos, Vila Zizinha - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-mtb-tsw-jump-deore-quadro-17-menos-de-1-mes-de-uso-zero-valor-na-nota-5-400-963694854
1,Hoje,11:07,Mtb e single pelo preço de uma ,4675.0,São José dos Campos, Jardim Bela Vista - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/mtb-e-single-pelo-preco-de-uma-965644286
2,,,,,,,
3,,,,,,,
4,Ontem,15:31,Bike single speed azul celeste 17,1200.0,Santo André, Parque João Ramalho - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-single-speed-azul-celeste-17-964866678
5,Ontem,13:31,Quadro Monark Olimpica (ano fab. 1960),250.0,Jundiaí, Parque Cidade Jardim II - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-monark-olimpica-ano-fab-1960-962239917
6,Ontem,12:26,Bicicleta fixa / single speed,1200.0,Diadema, Taboão - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-single-speed-962110804
7,,,,,,,
8,Ontem,08:48,"Caloi / monark 10 fixa , single ",750.0,Praia Grande, Vila Sônia - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-monark-10-fixa-single-965327133
9,Ontem,08:36,Bicicleta Mtb Aro 29 High One Tamanho 19 com sistema 1x10 deore shimano,3000.0,São José do Rio Preto, Jardim Planalto - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicleta-mtb-aro-29-high-one-tamanho-19-com-sistema-1x10-deore-shimano-955493212
10,4 dez,13:01,Coroa Shimano XT 1x11v 34T,650.0,Taubaté, Jardim das Nações - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/coroa-shimano-xt-1x11v-34t-957306824
11,4 dez,08:36,Pedivela Mtb Coroa Unica Integrado 34d Com Movimento Central,339.0,São José dos Campos, Setville Altos de São José - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/pedivela-mtb-coroa-unica-integrado-34d-com-movimento-central-965058899
12,3 dez,20:38,Patinete Elétrico Foston S10 Ultra,4700.0,Praia Grande, Canto do Forte - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/patinete-eletrico-foston-s10-ultra-964968879
13,,,,,,,
14,3 dez,20:12,Bicicleta Specialized Chisel 2020 Tamanho M ,11900.0,Jundiaí, Jardim Trevo - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-specialized-chisel-2020-tamanho-m-885405706
15,3 dez,19:23,Cubo Flip-Flop p/ bike fixa,300.0,Campinas, Barão Geraldo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/cubo-flip-flop-p-bike-fixa-964943028
16,3 dez,14:58,Bike Aro 29 Montadinha ,2350.0,Santos, José Menino - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bike-aro-29-montadinha-964832888
17,3 dez,11:34,Bicicleta Caloi City Tour,1800.0,Cotia, Granja Viana - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-caloi-city-tour-964745253
18,3 dez,10:44,Bicicleta Monark ,390.0,São Paulo, Jardim Vila Formosa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-monark-964719548
19,2 dez,15:31,Caloi 10 Com Sti Tourney tam. 54 - Aceito Troca Singlespeed,2750.0,São Paulo, Carandiru - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/caloi-10-com-sti-tourney-tam-54-aceito-troca-singlespeed-944405263
20,2 dez,13:02,Bike single recem reformada,630.0,Ribeirão Preto, Vila Tibério - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/bike-single-recem-reformada-964308938
21,1 dez,09:04,First Shelby aro 29 11 velocidades,3589.0,Indaiatuba, Jardim Califórnia - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/first-shelby-aro-29-11-velocidades-963684776
22,30 nov,12:24,"Quadro Monark 10 com garfo, mesa, canote e selim",300.0,Santo André, Vila Camilópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-monark-10-com-garfo-mesa-canote-e-selim-943542796
23,29 nov,12:31,Bicicleta ,2300.0,São José do Rio Preto, Jardim Nunes - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicleta-954606492
24,29 nov,10:08,Caloi 10 Single 1978,850.0,Santos, Aparecida - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-10-single-1978-962657907
25,29 nov,10:02,VENDO / TROCO POR PLACA DE VIDEO,1700.0,Mogi das Cruzes, Vila São Paulo - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vendo-troco-por-placa-de-video-962654403
26,,,,,,,
27,29 nov,10:01,"Bicicleta Santa Cruz Hightower, Carbono, Tam M, Kit S. Novíssima!!",29000.0,Itapira, Santa Cruz - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-santa-cruz-hightower-carbono-tam-m-kit-s-novissima-962653645
28,28 nov,22:54,Rodas e Pneus Caloi 10 de ferro,200.0,São Paulo, Parque Imperial - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rodas-e-pneus-caloi-10-de-ferro-962574768
29,28 nov,22:40,Bicicleta aro 29,2000.0,São José do Rio Preto, Jardim Nunes - DDD 17,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicleta-aro-29-962572969
30,28 nov,16:50,Caloi 10 Vintage Single Speed,1300.0,Campinas, Jardim Monte Líbano - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/caloi-10-vintage-single-speed-962490475
31,27 nov,15:11,Specialized Tarmac SL4 Elite,14999.0,Indaiatuba, Vila Sfeir - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/specialized-tarmac-sl4-elite-945366822
32,27 nov,14:42,Quadro Vintage Caloi Cruiser,350.0,Tremembé - DDD 12, ,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/quadro-vintage-caloi-cruiser-962234906
33,26 nov,21:34,Specialized Rockhopper Comp 29 tam L,4600.0,São Paulo, Vila Madalena - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/specialized-rockhopper-comp-29-tam-l-962018661
34,26 nov,14:12,Peças diversas,0.0,Taubaté, Terra Nova - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/pecas-diversas-961846977
35,26 nov,14:09,Dabomb Tora Bora Dirt Jump,0.0,Santo André, Jardim Santo André - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/dabomb-tora-bora-dirt-jump-961844996
36,25 nov,20:16,"Bike Soul, Ñ Scoot, Trek, First, Sense, Oggi, Caloi?",6280.0,Jundiaí, Anhangabaú - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-soul-scoot-trek-first-sense-oggi-caloi-961569422
37,,,,,,,
38,25 nov,14:28,Caloi single ,600.0,Osasco, Rochdale - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/caloi-single-961415873
39,25 nov,08:18,Bicicleta Gios Frx-Hi Verde Lima,1850.0,Valinhos, Santa Marina - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-gios-frx-hi-verde-lima-961243110
40,25 nov,07:48,"Bike first aro 29, quadro 17.5 de alumínio",4000.0,Jundiaí, Jardim Vale Verde - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-first-aro-29-quadro-17-5-de-aluminio-961234979
41,24 nov,09:00,"Mtb aro 29 quadro 17,5",3600.0,Embu Guaçu - DDD 11, ,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/mtb-aro-29-quadro-17-5-960765480
42,23 nov,14:59,Bike fixa/single speed ,1800.0,São Paulo, Perdizes - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-single-speed-960444844
43,21 nov,20:21,Quadro Caloi 10/Monark 10,350.0,São Paulo, Jardim Modelo - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/quadro-caloi-10-monark-10-959672138
44,21 nov,19:22,Bicicleta Absolute Nero - Nova 1 Mês de uso,3300.0,Bauru, Vila Souto - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/bicicleta-absolute-nero-nova-1-mes-de-uso-959657294
45,20 nov,12:26,vikingx edição limitada ,1300.0,São Caetano do Sul, Nova Gerty - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/vikingx-edicao-limitada-959262002
46,19 nov,18:08,Bike high one aro 26,800.0,Franca, Jardim Califórnia - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/bike-high-one-aro-26-959019086
47,18 nov,19:54,"Tsw Jump Plus Deore 1x10 tamanho 19 apenas 18x de:R$299,94",5399.0,São José dos Campos, Conjunto Residencial Trinta e Um de Março - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/tsw-jump-plus-deore-1x10-tamanho-19-apenas-18x-de-r-299-94-958560702
48,18 nov,18:07,Caloi SS3 1976,550.0,Santos, Embaré - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-ss3-1976-958519368
49,17 nov,20:55,Specialized Epic Carbon M,22500.0,São Carlos, Vila Brasília - DDD 16,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/specialized-epic-carbon-m-958106052
50,17 nov,17:24,Bike single speed Caloi 10,800.0,São Paulo, Vila Cosmopolita - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-single-speed-caloi-10-958026367
51,16 nov,09:41,corrente kmc half link branca usada leia a descrição,100.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/corrente-kmc-half-link-branca-usada-leia-a-descricao-957303894
52,16 nov,09:36,corrente kmc half link branca usada leia a descrição ,100.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/corrente-kmc-half-link-branca-usada-leia-a-descricao-957302378
53,15 nov,21:31,Bike Caloi Potenza Urbana ,1300.0,São Paulo, Vila Olímpia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-caloi-potenza-urbana-948908584
54,15 nov,19:36,Specialized Roubaix Sport - TAM 56 ,18500.0,Campinas, Chácara Primavera - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/specialized-roubaix-sport-tam-56-930417021
55,15 nov,14:12,Caloi 10 (modelo antigo) fixa/single,2400.0,São Paulo, Barra Funda - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/caloi-10-modelo-antigo-fixa-single-957058578
56,15 nov,13:10,Bmx academy aspire,1200.0,São Paulo, Vila Pirituba - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bmx-academy-aspire-957035281
57,12 nov,22:24,Bicicleta 29er AUDAX AUGE 40 tam 17 carbono 12v,13499.0,Barra Bonita, Vila Nova - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/bicicleta-29er-audax-auge-40-tam-17-carbono-12v-956347047
58,,,,,,,
59,,,,,,,
60,12 nov,21:36,Bicicleta Perifa (Whelling),1500.0,Campinas, Jardim Carlos Lourenço - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-perifa-whelling-956331224
61,12 nov,15:56,Specialized Tarmac Sport 2019 SL4 Carbon,15000.0,Rio Claro, Jardim Leblon - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/specialized-tarmac-sport-2019-sl4-carbon-945246205
62,12 nov,14:36,Bicicleta speed single retro,350.0,Sorocaba, Jardim Refúgio - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bicicleta-speed-single-retro-956102641
63,,,,,,,
64,12 nov,14:31,Cubo Contra Pedal Velosteel 36 furos pinhão 15d,110.0,Santo André, Vila Camilópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cubo-contra-pedal-velosteel-36-furos-pinhao-15d-936408536
65,11 nov,22:57,Coroa single ALL Terra assimétrica BCD 76,70.0,São José dos Campos, Residencial União - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/coroa-single-all-terra-assimetrica-bcd-76-955890675
66,11 nov,21:02,Montain bike Tsw Yukon | Sh-12 | 2021/2022 12v shimano,7299.0,São Paulo, Parque Maria Domitila - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/montain-bike-tsw-yukon-sh-12-2021-2022-12v-shimano-905317394
67,11 nov,18:57,"MTB (17) CANNONDALE TRAIL-5 DEORE 12, ROCKSHOX (Cartão 18x499). Troco\Envio\*Entrego",7990.0,Americana, Jardim São Vito - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/mtb-17-cannondale-trail-5-deore-12-rockshox-cartao-18x499-troco-envio-entrego-955813084
68,11 nov,11:53,Caloi 15 1979 (Raríssima),1750.0,Santos, Embaré - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-15-1979-rarissima-955600910
69,,,,,,,
70,11 nov,08:30,Bicicleta ,1800.0,Sorocaba, Vila João Romão - DDD 15,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bicicleta-955497875
71,10 nov,21:05,Bicicleta MTB aro 29 completa,2700.0,Cajamar, Paraíso (Polvilho) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-mtb-aro-29-completa-955327787
72,10 nov,21:00,Bike single,750.0,São Bernardo do Campo, Ferrazópolis - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-single-955322290
73,10 nov,17:01,Bike speed single Aro 29,1200.0,Santo André, Parque João Ramalho - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-speed-single-aro-29-947231300
74,10 nov,15:09,Quadro Scattante tam 57,450.0,Guarujá, Jardim Santa Maria - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/quadro-scattante-tam-57-955168819
75,10 nov,15:07,Bike Single Speed,1200.0,São Paulo, Vila Santa Inês - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-single-speed-955166668
76,10 nov,14:17,Bicicleta Soul SL529 SX 12v susp Brave Ar Verde Turquesa,8892.0,Americana, Parque Novo Mundo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-soul-sl529-sx-12v-susp-brave-ar-verde-turquesa-955119693
77,10 nov,12:00,Bicicleta Soul SL329 SX 12v susp Brave Vermelho,6430.0,Americana, Parque Novo Mundo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-soul-sl329-sx-12v-susp-brave-vermelho-955102968
78,10 nov,11:05,Bicicleta Soul SL329 SX 12v susp Brave Prata,6430.0,Americana, Parque Novo Mundo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-soul-sl329-sx-12v-susp-brave-prata-955094533
79,10 nov,11:00,Bicicleta Soul SL329 SX 12v susp Brave Gothic Blue,6430.0,Americana, Parque Novo Mundo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-soul-sl329-sx-12v-susp-brave-gothic-blue-955087450
80,10 nov,08:55,cubo traseiro men join leia a descrição,40.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cubo-traseiro-men-join-leia-a-descricao-955033713
81,10 nov,08:52,cog pinhao 14t dentes hupi usado LEIA,50.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cog-pinhao-14t-dentes-hupi-usado-leia-955033034
82,,,,,,,
83,10 nov,08:40,cubo traseiro men join leia a descrição,40.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cubo-traseiro-men-join-leia-a-descricao-955029562
84,10 nov,08:37,cog pinhao 14t dentes hupi usado LEIA,50.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cog-pinhao-14t-dentes-hupi-usado-leia-955028858
85,10 nov,00:37,Bike MTB preta,2700.0,Cajamar, Portais (Polvilho) - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-mtb-preta-954952315
86,9 nov,17:02,bike soul 12v ou troco por oggi,5500.0,Matão - DDD 16, ,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/bike-soul-12v-ou-troco-por-oggi-954753771
87,9 nov,13:34,"Monark 10 Single, vendo ou troco por bike aro 29",300.0,Marília, Jardim Nacional - DDD 14,https://sp.olx.com.br/regiao-de-bauru-e-marilia/ciclismo/monark-10-single-vendo-ou-troco-por-bike-aro-29-954594429
88,8 nov,16:27,Peças de bike,200.0,São José dos Campos, Jardim Bela Vista - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/pecas-de-bike-954228437
89,7 nov,22:15,Bike MTB aro 29 First 12v,3500.0,Birigüi, Jardim Arco-Íris - DDD 18,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/bike-mtb-aro-29-first-12v-953927823
90,7 nov,11:34,Bicicleta single speed Raf Bikes,1600.0,Campinas, Vila Aeroporto III - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-single-speed-raf-bikes-953759877
91,,,,,,,
92,,,,,,,
0,Hoje,16:24,Bikw fixa Kombat,1800.0,Caieiras, Serpa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bikw-fixa-kombat-965798408
1,Hoje,16:05,Chave Ferramenta Jws Instalação Movimento Central Hollowtech Shimano Truvativ Fsa Megaexo,22.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/chave-ferramenta-jws-instalacao-movimento-central-hollowtech-shimano-truvativ-fsa-megaexo-914853771
2,,,,,,,
3,,,,,,,
4,Hoje,15:52,Lanterna Bike Sinalizador Traseiro Farol Led Luz Segurança Bicicleta Varias Funções Branca,35.0,São José dos Campos, Jardim Oriente - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/lanterna-bike-sinalizador-traseiro-farol-led-luz-seguranca-bicicleta-varias-funcoes-branca-965779230
5,Hoje,15:31,Bicicleta  aro 29 ,1600.0,São Paulo, Parque Maria Domitila - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-29-960922342
6,Hoje,15:01,Rolo de treino fixo...,170.0,Hortolândia, Parque Terras de Santa Maria - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/rolo-de-treino-fixo-963309134
7,,,,,,,
8,Hoje,14:58,Hybrid Speed e-Bike,33200.0,São Paulo, Vila Pirajussara - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/hybrid-speed-e-bike-965752425
9,Hoje,14:01,Ciclo Monitor Cardíaco Gps Timex 2.0 T5k615ra/ti,300.0,Santos, Campo Grande - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/ciclo-monitor-cardiaco-gps-timex-2-0-t5k615ra-ti-963326044
10,Hoje,13:47,Sinalizador com Led Jws WS-211 Recarregável USB 8 Leds Pisca Vermelho 5 Modos Super Forte,26.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/sinalizador-com-led-jws-ws-211-recarregavel-usb-8-leds-pisca-vermelho-5-modos-super-forte-937280899
11,Hoje,12:40,36 volts 350 whats 12A XT30 motor controller para Xiaomi scooter bicicleta eletrica e-bike,110.0,Mogi das Cruzes, Jardim Universo - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/36-volts-350-whats-12a-xt30-motor-controller-para-xiaomi-scooter-bicicleta-eletrica-e-bike-965687317
12,Hoje,11:55,Bicicleta aro 29 - Bicitech Catalogo com preços - Temos Kit Shimano e freios hidraúlicos,1199.0,Santo André, Santa Terezinha - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-29-bicitech-catalogo-com-precos-temos-kit-shimano-e-freios-hidraulicos-955850000
13,,,,,,,
14,Hoje,11:44,GPS Ciclocomputador para Bicicletas Absolute Nero Compatível com Strava,180.0,São José dos Campos, Centro - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/gps-ciclocomputador-para-bicicletas-absolute-nero-compativel-com-strava-935306727
15,,,,,,,
16,Ontem,21:01,Bike aro 29,950.0,Sumaré, Parque Residencial Casarão - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-aro-29-945795310
17,Ontem,20:31,Câmera Esportiva Profissional GoPro 4k Ultra HD C/ Wi-Fi e Controle,260.0,Guarulhos, Conjunto Marcos Freire - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/camera-esportiva-profissional-gopro-4k-ultra-hd-c-wi-fi-e-controle-957882580
18,Ontem,20:31,Suporte para Bike,500.0,Valinhos, Jardim Novo Horizonte - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/suporte-para-bike-945508387
19,Ontem,17:38,Manopla Punho Bike Espuma Gel Silicone MTB Fixa ,25.0,São Paulo, Bela Vista - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/manopla-punho-bike-espuma-gel-silicone-mtb-fixa-965457398
20,Ontem,17:01,bike Urgente - 27 marchas shimano Deore em Hortolandia,980.0,Campinas, Parque Industrial - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/bike-urgente-27-marchas-shimano-deore-em-hortolandia-957725581
21,Ontem,12:38,Bike Fixa RAF Sprinter (troco por MTB 29),3000.0,São Paulo, Jardim Marabá - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-raf-sprinter-troco-por-mtb-29-965382970
22,Ontem,12:18,Rolo de Treino para Bike Altmayer + Apoio Pneu Dianteiro Preto Altmayer,150.0,Valinhos, Chácara Flora - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/rolo-de-treino-para-bike-altmayer-apoio-pneu-dianteiro-preto-altmayer-907147756
23,Ontem,08:48,"Caloi / monark 10 fixa , single ",750.0,Praia Grande, Vila Sônia - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-monark-10-fixa-single-965327133
24,4 dez,20:31,Para Bike Farol Dianteiro Led com Buzina recarregavel Promoção,39.0,São José dos Campos, Jardim Satélite - DDD 12,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/para-bike-farol-dianteiro-led-com-buzina-recarregavel-promocao-959395692
25,4 dez,14:04,Suporte para Bike,50.0,São Paulo, Perdizes - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/suporte-para-bike-965166320
26,,,,,,,
27,4 dez,13:31,Pinhão 17 dentes (com rosca) para bike Fixa.,40.0,São Paulo, Butantã - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pinhao-17-dentes-com-rosca-para-bike-fixa-959841605
28,4 dez,13:01,Velocímetro Bike Magnético Ciclo Computador Luz Noturna,70.0,Mauá, Jardim Quarto Centenário - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/velocimetro-bike-magnetico-ciclo-computador-luz-noturna-958549600
29,4 dez,09:13,Bike fixa kombat Tamanho 52,2400.0,São Paulo, Brasilândia - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-kombat-tamanho-52-965069530
30,3 dez,19:23,Cubo Flip-Flop p/ bike fixa,300.0,Campinas, Barão Geraldo - DDD 19,https://sp.olx.com.br/grande-campinas/ciclismo/cubo-flip-flop-p-bike-fixa-964943028
31,3 dez,14:58,Bike Aro 29 Montadinha ,2350.0,Santos, José Menino - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bike-aro-29-montadinha-964832888
32,3 dez,14:31,Bike fixa caloi atn,1500.0,São Paulo, Parque São Rafael - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-caloi-atn-956584703
33,3 dez,12:39,Caloi Peri 1979,800.0,Santos, Embaré - DDD 13,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/caloi-peri-1979-964774154
34,3 dez,12:24,Bike fixa - vicinitech,2350.0,Ferraz de Vasconcelos, Parque Dourado - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-vicinitech-964769824
35,3 dez,10:44,Bicicleta Monark ,390.0,São Paulo, Jardim Vila Formosa - DDD 11,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-monark-964719548
